Wavelength,Filler,Intensity,
  543.40280,     1.00000,  1274.00000,
  543.47312,     1.00000,  1355.00000,
  543.54343,     1.00000,  1372.00000,
  543.61374,     1.00000,  1316.00000,
  543.68405,     1.00000,  1379.00000,
  543.75436,     1.00000,  1428.00000,
  543.82466,     1.00000,  1429.00000,
  543.89496,     1.00000,  1424.00000,
  543.96526,     1.00000,  1439.00000,
  544.03556,     1.00000,  1446.00000,
  544.10585,     1.00000,  1479.00000,
  544.17614,     1.00000,  1590.00000,
  544.24643,     1.00000,  1650.00000,
  544.31672,     1.00000,  1852.00000,
  544.38701,     1.00000,  2086.00000,
  544.45729,     1.00000,  2648.00000,
  544.52757,     1.00000,  3982.00000,
  544.59785,     1.00000,  7168.00000,
  544.66813,     1.00000, 12919.00000,
  544.73841,     1.00000, 21665.00000,
  544.80868,     1.00000, 31781.00000,
  544.87895,     1.00000, 38386.00000,
  544.94922,     1.00000, 33404.00000,
  545.01948,     1.00000, 18689.00000,
  545.08975,     1.00000,  6361.00000,
  545.16001,     1.00000,  3335.00000,
  545.23027,     1.00000,  2845.00000,
  545.30053,     1.00000,  2901.00000,
  545.37078,     1.00000,  2990.00000,
  545.44104,     1.00000,  2974.00000,
  545.51129,     1.00000,  2537.00000,
  545.58154,     1.00000,  2236.00000,
  545.65178,     1.00000,  1940.00000,
  545.72203,     1.00000,  1770.00000,
  545.79227,     1.00000,  1573.00000,
  545.86251,     1.00000,  1591.00000,
  545.93275,     1.00000,  1760.00000,
  546.00298,     1.00000,  1760.00000,
  546.07322,     1.00000,  1535.00000,
  546.14345,     1.00000,  1556.00000,
  546.21368,     1.00000,  1448.00000,
  546.28390,     1.00000,  1429.00000,
  546.35413,     1.00000,  1450.00000,
  546.42435,     1.00000,  1514.00000,
  546.49457,     1.00000,  1594.00000,
  546.56479,     1.00000,  1804.00000,
  546.63500,     1.00000,  2318.00000,
  546.70522,     1.00000,  3586.00000,
  546.77543,     1.00000,  5188.00000,
  546.84564,     1.00000,  4704.00000,
  546.91584,     1.00000,  2824.00000,
  546.98605,     1.00000,  1908.00000,
  547.05625,     1.00000,  1539.00000,
  547.12645,     1.00000,  1420.00000,
  547.19665,     1.00000,  1351.00000,
  547.26685,     1.00000,  1328.00000,
  547.33704,     1.00000,  1247.00000,
