  533.00000,     1.00000   261.97925
  533.06773,     1.00000   255.28653
  533.13546,     1.00000   214.06525
  533.20319,     1.00000   195.92480
  533.27091,     1.00000   181.11322
  533.33864,     1.00000   158.14175
  533.40637,     1.00000   126.22213
  533.47410,     1.00000   149.86603
  533.54183,     1.00000   142.66032
  533.60956,     1.00000   136.73207
  533.67728,     1.00000   142.25757
  533.74501,     1.00000   132.76404
  533.81274,     1.00000   136.77615
  533.88047,     1.00000   134.18237
  533.94820,     1.00000   117.61971
  534.01593,     1.00000   138.42410
  534.08365,     1.00000   159.45589
  534.15138,     1.00000   153.06223
  534.21911,     1.00000   143.27081
  534.28684,     1.00000   130.26256
  534.35457,     1.00000   126.25929
  534.42230,     1.00000   133.79216
  534.49002,     1.00000   119.98061
  534.55775,     1.00000   104.59205
  534.62548,     1.00000   105.62284
  534.69321,     1.00000    91.48009
  534.76094,     1.00000    95.69983
  534.82867,     1.00000    78.87543
  534.89640,     1.00000    52.28305
  534.96412,     1.00000    80.59238
  535.03185,     1.00000    74.35207
  535.09958,     1.00000    61.74913
  535.16731,     1.00000    75.57180
  535.23504,     1.00000    83.51211
  535.30277,     1.00000    81.81488
  535.37049,     1.00000    94.02249
  535.43822,     1.00000   108.12630
  535.50595,     1.00000   105.48010
  535.57368,     1.00000   106.77422
  535.64141,     1.00000   125.01125
  535.70914,     1.00000   143.65398
  535.77686,     1.00000   147.31834
  535.84459,     1.00000   139.13368
  535.91232,     1.00000   171.15277
  535.98005,     1.00000   176.58652
  536.04778,     1.00000   156.07785
  536.11551,     1.00000   162.14984
  536.18323,     1.00000   135.59065
  536.25096,     1.00000   152.85986
  536.31869,     1.00000   164.19550
  536.38642,     1.00000   139.06381
  536.45415,     1.00000   175.91801
  536.52188,     1.00000   143.62903
  536.58961,     1.00000   131.08205
  536.65733,     1.00000   156.12392
  536.72506,     1.00000   124.05714
  536.79279,     1.00000   121.44610
  536.86052,     1.00000   163.06549
  536.92825,     1.00000   149.10390
  536.99598,     1.00000   139.70778
  537.06370,     1.00000   142.90424
  537.13143,     1.00000   146.77750
  537.19916,     1.00000   148.61386
  537.26689,     1.00000   148.49005
  537.33462,     1.00000   160.45888
  537.40235,     1.00000   167.55757
  537.47007,     1.00000   160.44415
  537.53780,     1.00000   160.82597
  537.60553,     1.00000   158.45714
  537.67326,     1.00000   166.75758
  537.74099,     1.00000   177.86147
  537.80872,     1.00000   182.69264
  537.87644,     1.00000   175.45973
  537.94417,     1.00000   170.40305
  538.01190,     1.00000   179.87001
  538.07963,     1.00000   184.47340
  538.14736,     1.00000   184.51949
  538.21509,     1.00000   189.03658
  538.28282,     1.00000   206.87354
  538.35054,     1.00000   161.07881
  538.41827,     1.00000   190.30473
  538.48600,     1.00000   203.86061
  538.55373,     1.00000   207.47185
  538.62146,     1.00000   202.89470
  538.68919,     1.00000   198.15567
  538.75691,     1.00000   208.94138
  538.82464,     1.00000   205.30502
  538.89237,     1.00000   188.37453
  538.96010,     1.00000   203.61942
  539.02783,     1.00000   221.56325
  539.09556,     1.00000   211.24178
  539.16328,     1.00000   205.00780
  539.23101,     1.00000   204.28596
  539.29874,     1.00000   226.49220
  539.36647,     1.00000   230.22891
  539.43420,     1.00000   243.93814
  539.50193,     1.00000   226.06796
  539.56965,     1.00000   228.82928
  539.63738,     1.00000   259.90814
  539.70511,     1.00000   248.63953
  539.77284,     1.00000   229.88734
  539.84057,     1.00000   237.47141
  539.90830,     1.00000   246.67244
  539.97603,     1.00000   249.13844
  540.04375,     1.00000   252.48808
  540.11148,     1.00000   253.76689
  540.17921,     1.00000   237.44994
  540.24694,     1.00000   246.48940
  540.31467,     1.00000   264.13834
  540.38240,     1.00000   265.54364
  540.45012,     1.00000   243.71915
  540.51785,     1.00000   247.76196
  540.58558,     1.00000   274.20941
  540.65331,     1.00000   267.10602
  540.72104,     1.00000   265.46796
  540.78877,     1.00000   284.13010
