  533.00000,     1.00000  3532.76587
  533.06773,     1.00000  3258.52246
  533.13546,     1.00000  3041.78174
  533.20319,     1.00000  2900.26782
  533.27091,     1.00000  2700.47266
  533.33864,     1.00000  2551.73730
  533.40637,     1.00000  2526.93506
  533.47410,     1.00000  2426.43481
  533.54183,     1.00000  2273.91016
  533.60956,     1.00000  2236.54541
  533.67728,     1.00000  2241.66895
  533.74501,     1.00000  2220.10205
  533.81274,     1.00000  2169.27222
  533.88047,     1.00000  2172.79077
  533.94820,     1.00000  2284.47021
  534.01593,     1.00000  2589.28979
  534.08365,     1.00000  3098.14990
  534.15138,     1.00000  3359.39331
  534.21911,     1.00000  3350.96191
  534.28684,     1.00000  3270.40283
  534.35457,     1.00000  3068.84180
  534.42230,     1.00000  2903.33594
  534.49002,     1.00000  3284.40112
  534.55775,     1.00000  3360.61084
  534.62548,     1.00000  3107.23193
  534.69321,     1.00000  2856.32910
  534.76094,     1.00000  2526.98242
  534.82867,     1.00000  1919.56580
  534.89640,     1.00000  1657.89502
  534.96412,     1.00000  1446.11707
  535.03185,     1.00000  1266.89795
  535.09958,     1.00000  1143.15576
  535.16731,     1.00000  1058.85278
  535.23504,     1.00000  1031.70691
  535.30277,     1.00000  1047.53455
  535.37049,     1.00000  1108.82703
  535.43822,     1.00000  1170.67468
  535.50595,     1.00000  1239.75781
  535.57368,     1.00000  1311.21716
  535.64141,     1.00000  1342.92908
  535.70914,     1.00000  1395.54846
  535.77686,     1.00000  1503.01904
  535.84459,     1.00000  1682.60095
  535.91232,     1.00000  1996.97656
  535.98005,     1.00000  2086.01563
  536.04778,     1.00000  2106.61768
  536.11551,     1.00000  1967.42590
  536.18323,     1.00000  1822.33972
  536.25096,     1.00000  1766.39783
  536.31869,     1.00000  1976.10730
  536.38642,     1.00000  2399.87817
  536.45415,     1.00000  2345.67017
  536.52188,     1.00000  1924.92883
  536.58961,     1.00000  1452.91028
  536.65733,     1.00000  1225.27478
  536.72506,     1.00000  1117.98962
  536.79279,     1.00000  1011.38611
  536.86052,     1.00000  1072.77161
